./main-bs.bin 251 50 | 0.02 0.00 0.02
./main-bs.bin 251 50 | 0.02 0.00 0.02
./main-bs.bin 251 50 | 0.02 0.00 0.02
./main-bs.bin 316 50 | 0.04 0.00 0.03
./main-bs.bin 316 50 | 0.04 0.00 0.03
./main-bs.bin 316 50 | 0.04 0.00 0.04
./main-bs.bin 398 50 | 0.07 0.00 0.07
./main-bs.bin 398 50 | 0.08 0.00 0.07
./main-bs.bin 398 50 | 0.08 0.00 0.07
./main-bs.bin 501 50 | 0.16 0.00 0.16
./main-bs.bin 501 50 | 0.15 0.00 0.15
./main-bs.bin 501 50 | 0.15 0.00 0.15
./main-bs.bin 630 50 | 0.31 0.00 0.30
./main-bs.bin 630 50 | 0.31 0.00 0.30
./main-bs.bin 630 50 | 0.30 0.00 0.30
./main-bs.bin 794 50 | 0.61 0.00 0.61
./main-bs.bin 794 50 | 0.62 0.00 0.61
./main-bs.bin 794 50 | 0.62 0.00 0.62
./main-bs.bin 1000 50 | 1.22 0.00 1.21
./main-bs.bin 1000 50 | 1.21 0.00 1.21
./main-bs.bin 1000 50 | 1.22 0.00 1.22
./main-bs.bin 1258 50 | 2.53 0.02 2.49
./main-bs.bin 1258 50 | 2.55 0.05 2.49
./main-bs.bin 1258 50 | 2.60 0.06 2.53
./main-bs.bin 1584 50 | 4.81 0.00 4.80
./main-bs.bin 1584 50 | 4.81 0.01 4.79
./main-bs.bin 1584 50 | 4.87 0.01 4.85
./main-bs.bin 1995 50 | 9.59 0.02 9.56
./main-bs.bin 1995 50 | 9.56 0.01 9.54
./main-bs.bin 1995 50 | 9.62 0.00 9.61
./main-bs.bin 2511 50 | 19.25 0.03 19.20
./main-bs.bin 2511 50 | 19.32 0.01 19.29
./main-bs.bin 2511 50 | 19.39 0.03 19.35
