./main-bs.bin 1995 1 | 69.06 0.23 68.80
./main-bs.bin 1995 1 | 84.92 0.01 84.90
./main-bs.bin 1995 1 | 84.22 0.14 84.07
./main-bs.bin 1995 2 | 29.14 0.01 29.11
./main-bs.bin 1995 2 | 29.32 0.18 29.13
./main-bs.bin 1995 2 | 29.31 0.03 29.27
./main-bs.bin 1995 3 | 20.51 0.01 20.49
./main-bs.bin 1995 3 | 20.34 0.01 20.32
./main-bs.bin 1995 3 | 20.47 0.01 20.44
./main-bs.bin 1995 4 | 15.63 0.00 15.61
./main-bs.bin 1995 4 | 15.95 0.16 15.78
./main-bs.bin 1995 4 | 15.73 0.01 15.71
./main-bs.bin 1995 5 | 14.88 0.02 14.85
./main-bs.bin 1995 5 | 14.85 0.01 14.83
./main-bs.bin 1995 5 | 15.05 0.01 15.03
./main-bs.bin 1995 6 | 13.49 0.02 13.46
./main-bs.bin 1995 6 | 13.22 0.02 13.18
./main-bs.bin 1995 6 | 13.52 0.01 13.51
./main-bs.bin 1995 7 | 12.37 0.03 12.32
./main-bs.bin 1995 7 | 12.54 0.12 12.41
./main-bs.bin 1995 7 | 12.22 0.01 12.20
./main-bs.bin 1995 8 | 12.12 0.03 12.08
./main-bs.bin 1995 8 | 12.17 0.01 12.14
./main-bs.bin 1995 8 | 12.12 0.02 12.10
./main-bs.bin 1995 10 | 11.38 0.00 11.37
./main-bs.bin 1995 10 | 11.57 0.08 11.48
./main-bs.bin 1995 10 | 11.38 0.02 11.35
./main-bs.bin 1995 12 | 11.31 0.01 11.29
./main-bs.bin 1995 12 | 11.34 0.01 11.32
./main-bs.bin 1995 12 | 11.62 0.16 11.45
./main-bs.bin 1995 15 | 10.79 0.01 10.77
./main-bs.bin 1995 15 | 10.68 0.02 10.65
./main-bs.bin 1995 15 | 10.66 0.01 10.65
./main-bs.bin 1995 19 | 10.34 0.01 10.32
./main-bs.bin 1995 19 | 10.30 0.02 10.27
./main-bs.bin 1995 19 | 10.28 0.01 10.27
./main-bs.bin 1995 25 | 9.96 0.01 9.94
./main-bs.bin 1995 25 | 10.02 0.02 10.00
./main-bs.bin 1995 25 | 9.96 0.01 9.94
./main-bs.bin 1995 31 | 9.86 0.01 9.84
./main-bs.bin 1995 31 | 9.95 0.10 9.84
./main-bs.bin 1995 31 | 9.84 0.07 9.76
./main-bs.bin 1995 39 | 9.65 0.00 9.64
./main-bs.bin 1995 39 | 9.72 0.01 9.70
./main-bs.bin 1995 39 | 9.64 0.01 9.62
./main-bs.bin 1995 50 | 9.68 0.02 9.65
./main-bs.bin 1995 50 | 9.58 0.01 9.55
./main-bs.bin 1995 50 | 9.66 0.02 9.63
./main-bs.bin 1995 63 | 10.83 0.01 10.81
./main-bs.bin 1995 63 | 10.82 0.02 10.79
./main-bs.bin 1995 63 | 10.86 0.02 10.83
./main-bs.bin 1995 79 | 10.96 0.01 10.94
./main-bs.bin 1995 79 | 11.32 0.14 11.17
./main-bs.bin 1995 79 | 10.99 0.01 10.97
./main-bs.bin 1995 100 | 10.98 0.01 10.96
./main-bs.bin 1995 100 | 10.89 0.02 10.86
./main-bs.bin 1995 100 | 10.98 0.01 10.96
./main-bs.bin 1995 125 | 10.78 0.01 10.75
./main-bs.bin 1995 125 | 10.76 0.01 10.74
./main-bs.bin 1995 125 | 10.93 0.02 10.91
./main-bs.bin 1995 158 | 10.91 0.01 10.89
./main-bs.bin 1995 158 | 10.78 0.02 10.76
./main-bs.bin 1995 158 | 10.76 0.01 10.74
./main-bs.bin 1995 199 | 11.01 0.18 10.81
./main-bs.bin 1995 199 | 10.64 0.01 10.62
./main-bs.bin 1995 199 | 10.61 0.01 10.59
./main-bs.bin 1995 251 | 10.76 0.01 10.74
./main-bs.bin 1995 251 | 10.78 0.03 10.74
./main-bs.bin 1995 251 | 10.84 0.01 10.81
./main-bs.bin 1995 316 | 10.87 0.02 10.84
./main-bs.bin 1995 316 | 10.99 0.00 10.97
./main-bs.bin 1995 316 | 11.04 0.01 11.02
./main-bs.bin 1995 398 | 13.90 0.02 13.87
./main-bs.bin 1995 398 | 14.08 0.02 14.05
./main-bs.bin 1995 398 | 14.19 0.11 14.07
./main-bs.bin 1995 501 | 15.52 0.01 15.50
./main-bs.bin 1995 501 | 15.85 0.01 15.84
./main-bs.bin 1995 501 | 15.51 0.02 15.48
./main-bs.bin 1995 630 | 15.98 0.02 15.95
./main-bs.bin 1995 630 | 15.96 0.00 15.94
./main-bs.bin 1995 630 | 15.83 0.03 15.79
./main-bs.bin 1995 794 | 19.11 0.15 18.95
./main-bs.bin 1995 794 | 17.95 0.01 17.93
./main-bs.bin 1995 794 | 18.10 0.01 18.07
./main-bs.bin 1995 1000 | 21.27 0.01 21.25
./main-bs.bin 1995 1000 | 25.41 0.01 25.39
./main-bs.bin 1995 1000 | 19.08 0.02 19.05
