./main-bp-i.bin 251 50 | 0.01 0.00 0.04
./main-bp-i.bin 251 50 | 0.01 0.00 0.05
./main-bp-i.bin 251 50 | 0.01 0.00 0.05
./main-bp-i.bin 316 50 | 0.02 0.00 0.08
./main-bp-i.bin 316 50 | 0.03 0.00 0.10
./main-bp-i.bin 316 50 | 0.02 0.00 0.08
./main-bp-i.bin 398 50 | 0.05 0.00 0.18
./main-bp-i.bin 398 50 | 0.05 0.00 0.18
./main-bp-i.bin 398 50 | 0.04 0.00 0.17
./main-bp-i.bin 501 50 | 0.09 0.00 0.36
./main-bp-i.bin 501 50 | 0.09 0.00 0.37
./main-bp-i.bin 501 50 | 0.09 0.00 0.36
./main-bp-i.bin 630 50 | 0.19 0.00 0.73
./main-bp-i.bin 630 50 | 0.20 0.00 0.75
./main-bp-i.bin 630 50 | 0.19 0.00 0.74
./main-bp-i.bin 794 50 | 0.39 0.00 1.52
./main-bp-i.bin 794 50 | 0.40 0.00 1.55
./main-bp-i.bin 794 50 | 0.39 0.00 1.53
./main-bp-i.bin 1000 50 | 0.81 0.00 3.15
./main-bp-i.bin 1000 50 | 0.80 0.00 3.15
./main-bp-i.bin 1000 50 | 0.80 0.00 3.14
./main-bp-i.bin 1258 50 | 1.62 0.01 6.33
./main-bp-i.bin 1258 50 | 1.59 0.02 6.23
./main-bp-i.bin 1258 50 | 1.62 0.01 6.31
./main-bp-i.bin 1584 50 | 3.27 0.01 12.77
./main-bp-i.bin 1584 50 | 3.36 0.11 12.94
./main-bp-i.bin 1584 50 | 3.39 0.11 13.02
./main-bp-i.bin 1995 50 | 6.51 0.03 25.36
./main-bp-i.bin 1995 50 | 6.52 0.05 25.40
./main-bp-i.bin 1995 50 | 6.52 0.06 25.34
./main-bp-i.bin 2511 50 | 13.15 0.10 51.47
./main-bp-i.bin 2511 50 | 14.82 0.12 55.62
./main-bp-i.bin 2511 50 | 12.94 0.10 50.64
