./main-ns.bin 251 | 0.03 0.00 0.03
./main-ns.bin 251 | 0.03 0.00 0.03
./main-ns.bin 251 | 0.03 0.00 0.03
./main-ns.bin 316 | 0.05 0.00 0.05
./main-ns.bin 316 | 0.05 0.00 0.05
./main-ns.bin 316 | 0.06 0.00 0.05
./main-ns.bin 398 | 0.11 0.00 0.11
./main-ns.bin 398 | 0.10 0.00 0.10
./main-ns.bin 398 | 0.11 0.00 0.10
./main-ns.bin 501 | 0.24 0.00 0.23
./main-ns.bin 501 | 0.25 0.00 0.24
./main-ns.bin 501 | 0.25 0.00 0.24
./main-ns.bin 630 | 0.48 0.00 0.48
./main-ns.bin 630 | 0.50 0.00 0.49
./main-ns.bin 630 | 0.50 0.00 0.50
./main-ns.bin 794 | 1.20 0.00 1.19
./main-ns.bin 794 | 1.19 0.02 1.16
./main-ns.bin 794 | 1.20 0.03 1.16
./main-ns.bin 1000 | 2.80 0.08 2.70
./main-ns.bin 1000 | 2.76 0.05 2.69
./main-ns.bin 1000 | 2.69 0.01 2.67
./main-ns.bin 1258 | 5.91 0.15 5.75
./main-ns.bin 1258 | 5.96 0.16 5.78
./main-ns.bin 1258 | 6.05 0.15 5.88
./main-ns.bin 1584 | 13.22 0.27 12.94
./main-ns.bin 1584 | 13.59 0.28 13.30
./main-ns.bin 1584 | 13.65 0.20 13.44
./main-ns.bin 1995 | 29.23 0.65 28.57
./main-ns.bin 1995 | 28.76 0.57 28.18
./main-ns.bin 1995 | 28.79 0.56 28.22
./main-ns.bin 2511 | 76.29 1.14 75.14
./main-ns.bin 2511 | 75.94 0.26 75.67
./main-ns.bin 2511 | 73.88 0.16 73.71
