./main-np-i.bin 251 | 0.07 0.00 0.06
./main-np-i.bin 251 | 0.02 0.00 0.06
./main-np-i.bin 251 | 0.02 0.00 0.07
./main-np-i.bin 316 | 0.03 0.00 0.09
./main-np-i.bin 316 | 0.03 0.00 0.10
./main-np-i.bin 316 | 0.02 0.00 0.10
./main-np-i.bin 398 | 0.05 0.00 0.20
./main-np-i.bin 398 | 0.05 0.00 0.20
./main-np-i.bin 398 | 0.05 0.00 0.21
./main-np-i.bin 501 | 0.11 0.00 0.41
./main-np-i.bin 501 | 0.11 0.00 0.42
./main-np-i.bin 501 | 0.11 0.00 0.41
./main-np-i.bin 630 | 0.20 0.00 0.80
./main-np-i.bin 630 | 0.22 0.00 0.86
./main-np-i.bin 630 | 0.23 0.00 0.87
./main-np-i.bin 794 | 0.47 0.00 1.82
./main-np-i.bin 794 | 0.49 0.00 1.93
./main-np-i.bin 794 | 0.48 0.00 1.85
./main-np-i.bin 1000 | 1.41 0.00 5.55
./main-np-i.bin 1000 | 1.42 0.00 5.51
./main-np-i.bin 1000 | 1.40 0.00 5.53
./main-np-i.bin 1258 | 4.24 0.00 16.76
./main-np-i.bin 1258 | 4.27 0.01 16.87
./main-np-i.bin 1258 | 4.27 0.02 16.78
./main-np-i.bin 1584 | 10.53 0.17 40.77
./main-np-i.bin 1584 | 10.33 0.01 40.63
./main-np-i.bin 1584 | 10.38 0.00 40.87
./main-np-i.bin 1995 | 23.52 0.01 92.47
./main-np-i.bin 1995 | 24.13 0.04 90.65
./main-np-i.bin 1995 | 24.31 0.22 93.86
./main-np-i.bin 2511 | 53.96 0.09 209.41
./main-np-i.bin 2511 | 54.50 0.29 210.04
./main-np-i.bin 2511 | 43.18 0.09 167.48
